,def_pay
27253,1
11537,1
626,0
24225,0
12978,0
7393,0
10880,0
22737,0
5967,0
21778,1
1278,0
12848,0
27572,0
17363,1
2012,1
8580,0
29737,1
27638,0
9642,0
18368,1
583,0
19298,0
9518,0
21842,0
18154,0
2158,0
6056,0
5621,0
23950,0
29535,0
7404,1
17945,0
7345,0
10337,1
24509,0
4072,0
19953,0
11694,0
23264,0
15120,0
25422,0
25692,0
6730,0
4272,0
15352,0
20869,0
18163,0
555,0
17805,0
5085,1
21012,1
155,0
4445,0
19484,0
21047,0
10697,0
14039,0
11137,0
23223,0
7057,0
29970,0
17817,1
5533,1
16259,1
19908,1
13593,0
3702,0
23028,0
4716,0
2093,0
10102,1
15897,0
27970,0
2162,0
20996,0
3099,0
6726,1
4702,1
19412,0
22368,0
6028,0
13878,1
21803,0
15835,0
12231,0
17971,1
26535,1
19454,0
23413,1
24792,0
12217,0
885,0
22134,0
9893,0
27599,1
23855,0
20995,1
10193,0
24021,0
176,0
28701,0
10863,0
10662,1
22990,0
21633,1
16341,0
12764,0
13014,0
13471,0
12671,0
10224,0
24663,1
25633,1
1851,0
15167,0
23905,0
13,1
1359,0
4906,0
13299,0
26152,0
3954,0
20613,0
6143,0
9661,1
2368,0
908,0
28416,0
20261,0
3959,0
5252,0
16094,1
2681,0
17155,1
25288,0
25851,1
24680,0
1709,0
4553,0
7900,0
18478,0
27276,1
28239,1
7921,1
27532,0
17373,0
29325,0
12918,1
26147,0
17584,0
21212,0
22871,1
26959,0
29472,0
18439,0
25321,0
9600,0
4127,1
24217,0
21015,1
5491,0
29899,1
1037,1
9414,0
16502,1
26139,0
18020,0
4281,0
4786,1
20183,0
7724,1
27358,0
8445,0
21355,0
17090,0
5376,0
8785,0
14947,0
17449,0
10803,1
11168,0
6932,1
25366,0
25666,0
12724,0
12593,1
1089,0
22511,0
28428,0
10147,0
2732,0
27177,0
3761,0
23667,0
3512,1
25337,0
2759,0
29624,0
16997,0
9479,1
16181,1
16654,1
6425,0
9010,0
5490,0
24189,0
11359,1
6957,1
12292,1
7025,1
11545,0
17297,0
21003,1
4888,0
24729,0
14622,0
9234,0
26924,0
8084,1
10526,0
2077,1
10417,0
16093,0
29592,0
8207,0
9799,1
1634,0
28809,0
1480,0
9744,0
27433,0
27938,0
22229,0
28251,0
13260,0
18437,1
11003,0
12249,1
8411,0
16559,1
23877,0
23737,0
28778,0
21840,0
17286,0
23459,0
25984,1
8059,0
17114,0
5117,1
14366,1
3935,0
6927,0
22022,0
2638,0
3822,1
11006,0
2287,0
13979,1
29778,1
19577,1
12225,0
15983,1
17901,0
5135,1
7975,0
2821,1
13846,0
14513,0
6088,1
10113,0
11929,0
4086,0
831,0
21209,0
20509,0
15547,0
25069,1
14293,1
6432,0
22516,0
28203,0
29368,0
12908,1
29088,0
22430,0
16340,0
28346,0
12943,0
23558,0
15361,0
11534,0
5530,0
23195,0
26638,0
23184,0
29744,1
19880,1
5511,0
22401,1
14774,0
27988,0
29252,0
4337,0
25082,0
19635,0
2688,1
937,0
11240,0
3080,0
25669,0
18472,0
6365,1
21506,0
16767,1
4082,0
12980,0
14572,1
10807,0
18378,0
26448,1
28973,1
7927,0
22966,0
5338,1
2888,0
23252,1
10673,0
5838,0
842,0
417,0
18077,1
7986,0
3534,0
17518,0
27070,0
1495,0
17009,0
19004,0
6250,0
15915,0
26512,0
22372,0
23009,0
7431,0
15472,0
26215,0
15344,0
28892,1
9928,0
13657,0
9839,0
28358,0
4744,0
15150,0
14669,0
5672,0
22464,1
14819,0
22803,0
12460,0
5364,0
7707,0
15206,0
9664,1
11752,0
17219,1
16292,1
17947,0
5758,1
22113,0
20051,0
22365,1
1156,0
2825,1
27960,0
3594,1
2576,0
6085,1
16024,0
7754,0
22011,1
15243,0
13654,0
10878,0
20480,1
29670,0
3549,0
17654,0
6017,1
22943,0
25080,1
22301,0
26394,0
10998,1
23938,1
24263,1
19288,0
25794,0
29130,0
10541,1
28872,0
1127,0
17038,0
4070,0
12065,0
4208,0
19983,0
29951,0
26442,1
14359,0
17510,1
29519,0
1544,1
28109,1
14473,0
12218,0
8860,0
29069,0
3000,0
6194,0
28591,1
13352,0
24139,1
29241,0
12703,1
29721,0
8850,0
25952,0
5275,0
9465,0
19809,0
12273,0
20914,1
2318,1
22112,0
16953,0
6508,0
29292,1
7543,0
7695,0
4663,0
26708,0
7550,0
5099,1
592,0
21272,0
14832,1
6408,0
364,0
14818,0
18528,0
25018,0
10789,0
19424,0
17462,0
12330,0
10207,0
12464,0
16206,0
7879,0
19713,0
28741,0
13466,0
3928,0
6505,1
5588,0
20670,1
20062,0
5689,0
367,0
20289,0
7659,0
18952,0
26635,1
29904,1
2335,0
20872,0
25341,0
22542,1
16080,0
3120,0
76,0
3342,0
18121,0
19935,0
14899,0
25403,0
27982,0
11622,1
12803,1
28461,0
23716,0
4301,1
16129,0
28686,0
21276,0
3158,0
18876,1
10159,0
3215,0
5727,0
21359,0
10202,0
11522,0
90,1
11108,0
18490,1
15874,0
6589,0
28739,0
15145,0
9579,0
25180,0
29554,1
9693,0
11018,0
21966,0
12626,0
11656,0
2470,1
7161,1
22649,0
10126,0
828,0
19380,0
4491,0
10324,0
25922,0
14367,1
9047,0
2110,0
13951,1
15566,1
25467,1
17402,1
15781,0
13238,1
23401,1
28836,0
234,0
4239,1
24566,0
28848,0
22879,0
11450,0
24054,0
15483,0
16774,0
3020,1
2741,0
10509,1
1954,0
25068,0
29436,1
12579,0
26429,0
20223,0
553,0
8476,0
904,0
23285,0
1330,0
21050,0
28868,0
20529,0
834,0
14000,0
15284,0
25115,0
15921,0
19798,1
20332,0
20189,0
22566,0
3519,0
13263,0
10587,0
27852,1
12378,0
13932,0
1886,0
6946,1
10760,0
7160,0
17515,0
9243,0
8615,0
20375,0
23611,0
23189,0
23993,0
21179,0
17960,0
7121,0
9339,1
16180,0
19952,0
26067,0
28863,0
22845,0
23490,1
1321,0
10661,0
6671,0
15353,0
1086,1
29736,0
24638,0
5550,0
25533,0
17235,1
23330,0
15073,0
13362,0
16153,0
28518,0
16317,0
26832,0
3754,0
22092,0
17403,0
23266,0
1521,0
5848,0
2101,0
14939,0
19182,0
11398,1
515,0
25101,0
19539,0
10291,0
22015,0
13856,1
9312,0
28089,0
18663,0
17479,0
15647,0
18465,1
21647,1
20039,0
794,0
25070,0
13653,0
3850,1
20932,1
22441,0
16918,0
18138,1
15684,0
27863,0
25946,0
25004,0
7818,0
16110,1
14594,0
19261,0
8884,0
23104,0
14968,0
23303,0
22519,0
20246,0
17040,0
13998,0
23548,0
3983,0
8598,1
20119,0
12928,0
26702,0
8157,0
14296,0
9956,0
47,1
23888,0
9288,1
8773,1
28621,1
24678,0
3228,0
2794,1
20619,0
27608,0
22617,0
27459,0
14521,1
25854,0
24837,0
4441,0
21172,0
21552,0
11325,0
22796,0
624,0
5069,0
6481,0
5518,0
861,0
13269,0
28489,0
5346,0
21021,0
13248,0
11043,1
222,0
27791,0
11118,0
28840,1
14240,0
11732,0
20592,0
19184,0
29494,0
4996,0
20581,0
2441,1
1426,0
17051,1
22266,1
9792,0
17152,0
4128,0
26248,0
14028,0
15184,0
3493,0
21470,1
6253,0
25635,0
7416,0
18268,0
24203,0
25372,0
29190,0
22686,1
25472,1
16620,0
3658,0
21668,0
3506,0
15497,1
25887,0
19465,1
11885,0
19605,0
22661,0
9595,0
14385,0
1193,0
29364,0
8080,0
14960,0
29531,1
11111,0
19730,0
16376,1
